architecture,loss_variant,seed,target,checkpoint,prediction_path,parameter_count,count,ws_rmse,ws_mae,wd_mae,r2
DPFMformerMarine,paper_kfl_dircos,42,sd1042,not_released,not_released,13095.0,21858.0,1.3629393577575684,1.0527352094650269,16.124082565307617,0.8190378099679947
DPFMformerMarine,paper_kfl_dircos,42,sd1091,not_released,not_released,13095.0,14304.0,0.8133026957511902,0.5847694277763367,9.67010498046875,0.8227659463882446
DPFMformerMarine,paper_kfl_dircos,43,sd1042,not_released,not_released,13095.0,21858.0,1.37573504447937,1.0276600122451782,14.936752319335938,0.815624013543129
DPFMformerMarine,paper_kfl_dircos,43,sd1091,not_released,not_released,13095.0,14304.0,0.8212994933128357,0.5931907296180725,9.51270580291748,0.8192635178565979
DPFMformerMarine,paper_kfl_dircos,44,sd1042,not_released,not_released,13095.0,21858.0,1.2251642942428589,0.9059375524520874,13.102325439453123,0.8537743985652924
DPFMformerMarine,paper_kfl_dircos,44,sd1091,not_released,not_released,13095.0,14304.0,0.7842991352081299,0.5471275448799133,8.648475646972656,0.835181400179863
DPFMformerMarine,paper_kfl_dircos,45,sd1042,not_released,not_released,13095.0,21858.0,1.313997745513916,0.9948065280914308,15.93147087097168,0.8318007439374924
DPFMformerMarine,paper_kfl_dircos,45,sd1091,not_released,not_released,13095.0,14304.0,0.7683955430984497,0.5376679301261902,9.175009727478027,0.8417978286743164
DPFMformerMarine,paper_kfl_dircos,46,sd1042,not_released,not_released,13095.0,21858.0,1.1660993099212646,0.8654554486274719,13.415257453918455,0.8675335645675659
DPFMformerMarine,paper_kfl_dircos,46,sd1091,not_released,not_released,13095.0,14304.0,0.7802649736404419,0.5445414185523987,9.179099082946776,0.8368725776672363
DPFMformerMarine,common_smoothl1_dircos,42,sd1042,not_released,not_released,13095.0,21858.0,1.2273005247116089,0.9240339994430542,15.860033988952637,0.8532640039920807
DPFMformerMarine,common_smoothl1_dircos,42,sd1091,not_released,not_released,13095.0,14304.0,0.800514817237854,0.570217490196228,10.10812282562256,0.8282955884933472
DPFMformerMarine,common_smoothl1_dircos,43,sd1042,not_released,not_released,13095.0,21858.0,1.2220035791397097,0.9130786061286926,14.839484214782717,0.8545278906822205
DPFMformerMarine,common_smoothl1_dircos,43,sd1091,not_released,not_released,13095.0,14304.0,0.7903492450714111,0.563117504119873,9.719136238098145,0.8326287567615509
DPFMformerMarine,common_smoothl1_dircos,44,sd1042,not_released,not_released,13095.0,21858.0,1.2100006341934204,0.907299816608429,13.989020347595217,0.8573716133832932
DPFMformerMarine,common_smoothl1_dircos,44,sd1091,not_released,not_released,13095.0,14304.0,0.7715741991996765,0.5498033165931702,9.02863311767578,0.8404862284660339
DPFMformerMarine,common_smoothl1_dircos,45,sd1042,not_released,not_released,13095.0,21858.0,1.248698353767395,0.9477314352989196,16.928375244140625,0.8481027632951736
DPFMformerMarine,common_smoothl1_dircos,45,sd1091,not_released,not_released,13095.0,14304.0,0.7665330767631531,0.5375065803527832,9.725605964660645,0.8425638228654861
DPFMformerMarine,common_smoothl1_dircos,46,sd1042,not_released,not_released,13095.0,21858.0,1.1466054916381836,0.8529568910598755,13.90151596069336,0.8719254583120346
DPFMformerMarine,common_smoothl1_dircos,46,sd1091,not_released,not_released,13095.0,14304.0,0.7700310945510864,0.5414493083953857,9.532211303710938,0.8411236554384232
DPFMformerMarine,common_smoothl1_dircos,42,target_mean,,,,18081.0,1.0139076709747314,0.7471257448196411,12.984078407287598,0.8407797962427139
DPFMformerMarine,common_smoothl1_dircos,43,target_mean,,,,18081.0,1.0061764121055603,0.7380980551242828,12.27931022644043,0.8435783237218857
DPFMformerMarine,common_smoothl1_dircos,44,target_mean,,,,18081.0,0.9907874166965485,0.7285515666007996,11.508826732635498,0.8489289209246635
DPFMformerMarine,common_smoothl1_dircos,45,target_mean,,,,18081.0,1.007615715265274,0.7426190078258514,13.326990604400635,0.8453332930803299
DPFMformerMarine,common_smoothl1_dircos,46,target_mean,,,,18081.0,0.958318293094635,0.6972030997276306,11.716863632202148,0.8565245568752289
DPFMformerMarine,paper_kfl_dircos,42,target_mean,,,,18081.0,1.0881210267543793,0.8187523186206818,12.897093772888184,0.8209018781781197
DPFMformerMarine,paper_kfl_dircos,43,target_mean,,,,18081.0,1.098517268896103,0.8104253709316254,12.224729061126709,0.8174437656998634
DPFMformerMarine,paper_kfl_dircos,44,target_mean,,,,18081.0,1.0047317147254944,0.7265325486660004,10.87540054321289,0.8444778993725777
DPFMformerMarine,paper_kfl_dircos,45,target_mean,,,,18081.0,1.0411966443061829,0.7662372291088104,12.553240299224854,0.8367992863059044
DPFMformerMarine,paper_kfl_dircos,46,target_mean,,,,18081.0,0.9731821417808533,0.7049984335899353,11.297178268432615,0.8522030711174011
