variant,seed,target,delta_u,delta_v
fixed4_submitted,42,sd1042,4.0,4.0
unbounded,42,sd1042,inf,inf
fixed6,42,sd1042,6.0,6.0
training_derived_component,42,sd1042,2.931263635389228,3.318888888962726
learnable_global_component,42,sd1042,2.7340221405029297,3.120949506759644
fixed4_submitted,42,sd1091,4.0,4.0
unbounded,42,sd1091,inf,inf
fixed6,42,sd1091,6.0,6.0
training_derived_component,42,sd1091,2.931263635389228,3.318888888962726
learnable_global_component,42,sd1091,2.7331018447875977,3.122238874435425
fixed4_submitted,43,sd1042,4.0,4.0
unbounded,43,sd1042,inf,inf
fixed6,43,sd1042,6.0,6.0
training_derived_component,43,sd1042,2.931263635389228,3.318888888962726
learnable_global_component,43,sd1042,2.747002124786377,3.074793815612793
fixed4_submitted,43,sd1091,4.0,4.0
unbounded,43,sd1091,inf,inf
fixed6,43,sd1091,6.0,6.0
training_derived_component,43,sd1091,2.931263635389228,3.318888888962726
learnable_global_component,43,sd1091,2.7469921112060547,3.075441360473633
fixed4_submitted,44,sd1042,4.0,4.0
unbounded,44,sd1042,inf,inf
fixed6,44,sd1042,6.0,6.0
training_derived_component,44,sd1042,2.931263635389228,3.318888888962726
learnable_global_component,44,sd1042,2.7233407497406006,3.0929625034332275
fixed4_submitted,44,sd1091,4.0,4.0
unbounded,44,sd1091,inf,inf
fixed6,44,sd1091,6.0,6.0
training_derived_component,44,sd1091,2.931263635389228,3.318888888962726
learnable_global_component,44,sd1091,2.724970579147339,3.096274137496948
fixed4_submitted,45,sd1042,4.0,4.0
unbounded,45,sd1042,inf,inf
fixed6,45,sd1042,6.0,6.0
training_derived_component,45,sd1042,2.931263635389228,3.318888888962726
learnable_global_component,45,sd1042,2.681462526321411,3.050234317779541
fixed4_submitted,45,sd1091,4.0,4.0
unbounded,45,sd1091,inf,inf
fixed6,45,sd1091,6.0,6.0
training_derived_component,45,sd1091,2.931263635389228,3.318888888962726
learnable_global_component,45,sd1091,2.680395126342773,3.0524823665618896
fixed4_submitted,46,sd1042,4.0,4.0
unbounded,46,sd1042,inf,inf
fixed6,46,sd1042,6.0,6.0
training_derived_component,46,sd1042,2.931263635389228,3.318888888962726
learnable_global_component,46,sd1042,2.722186803817749,3.0561861991882324
fixed4_submitted,46,sd1091,4.0,4.0
unbounded,46,sd1091,inf,inf
fixed6,46,sd1091,6.0,6.0
training_derived_component,46,sd1091,2.931263635389228,3.318888888962726
learnable_global_component,46,sd1091,2.7216055393218994,3.0570485591888428
