variant,seed,target,checkpoint,prediction_path,parameter_count,learned_bound_u,learned_bound_v,count,ws_rmse,ws_mae,wd_mae,r2
fixed4_submitted,42,sd1042,not_released,not_released,512595.0,4.0,4.0,21858.0,1.0810753107070923,0.7514767050743103,10.32870864868164,0.8861464262008667
unbounded,42,sd1042,not_released,not_released,512595.0,inf,inf,21858.0,1.0582343339920044,0.7233415842056274,10.159056663513184,0.8909066021442413
fixed6,42,sd1042,not_released,not_released,512595.0,6.0,6.0,21858.0,1.0878255367279053,0.7614592909812927,10.199092864990234,0.8847201764583588
training_derived_component,42,sd1042,not_released,not_released,512595.0,2.931263635389228,3.318888888962726,21858.0,1.0593544244766235,0.7290753126144409,10.128331184387209,0.8906755223870277
learnable_global_component,42,sd1042,not_released,not_released,512597.0,2.7340221405029297,3.120949506759644,21858.0,1.0522146224975586,0.7227425575256348,10.105588912963867,0.8921442106366158
fixed4_submitted,42,sd1091,not_released,not_released,512595.0,4.0,4.0,14304.0,0.7164046168327332,0.48495128750801086,6.970454216003418,0.862482026219368
unbounded,42,sd1091,not_released,not_released,512595.0,inf,inf,14304.0,0.7211061716079712,0.4879754483699798,7.084645748138428,0.8606711328029633
fixed6,42,sd1091,not_released,not_released,512595.0,6.0,6.0,14304.0,0.7155493497848511,0.4866969287395477,7.130570888519287,0.8628101795911789
training_derived_component,42,sd1091,not_released,not_released,512595.0,2.931263635389228,3.318888888962726,14304.0,0.7330856919288635,0.4971228837966919,7.194374084472656,0.8560033887624741
learnable_global_component,42,sd1091,not_released,not_released,512597.0,2.7331018447875977,3.122238874435425,14304.0,0.7212920784950256,0.4884810447692871,6.957188606262207,0.8605992496013641
fixed4_submitted,43,sd1042,not_released,not_released,512595.0,4.0,4.0,21858.0,1.0521939992904663,0.7196699380874634,10.085587501525879,0.8921484276652336
unbounded,43,sd1042,not_released,not_released,512595.0,inf,inf,21858.0,1.043104648590088,0.7098423838615417,10.126188278198242,0.894003726541996
fixed6,43,sd1042,not_released,not_released,512595.0,6.0,6.0,21858.0,1.0591613054275513,0.7242626547813416,10.078078269958496,0.8907153829932213
training_derived_component,43,sd1042,not_released,not_released,512595.0,2.931263635389228,3.318888888962726,21858.0,1.0517635345458984,0.7191368937492371,10.120110511779783,0.8922366499900818
learnable_global_component,43,sd1042,not_released,not_released,512597.0,2.747002124786377,3.074793815612793,21858.0,1.0522782802581787,0.7188807725906372,10.112043380737305,0.8921311646699905
fixed4_submitted,43,sd1091,not_released,not_released,512595.0,4.0,4.0,14304.0,0.7281348705291748,0.4921816885471344,7.014504432678223,0.8579417765140533
unbounded,43,sd1091,not_released,not_released,512595.0,inf,inf,14304.0,0.7357290387153625,0.4972660541534424,7.129775524139404,0.8549631088972092
fixed6,43,sd1091,not_released,not_released,512595.0,6.0,6.0,14304.0,0.7235795855522156,0.488241046667099,7.046050071716309,0.8597136586904526
training_derived_component,43,sd1091,not_released,not_released,512595.0,2.931263635389228,3.318888888962726,14304.0,0.7297279834747314,0.4935715198516845,7.099704742431641,0.8573194593191147
learnable_global_component,43,sd1091,not_released,not_released,512597.0,2.7469921112060547,3.075441360473633,14304.0,0.7335919141769409,0.4978231191635132,7.13007926940918,0.8558044582605362
fixed4_submitted,44,sd1042,not_released,not_released,512595.0,4.0,4.0,21858.0,1.0579590797424316,0.7312202453613281,10.219396591186523,0.8909633308649063
unbounded,44,sd1042,not_released,not_released,512595.0,inf,inf,21858.0,1.036010503768921,0.7069401741027832,10.100993156433104,0.895440585911274
fixed6,44,sd1042,not_released,not_released,512595.0,6.0,6.0,21858.0,1.0562961101531982,0.7284671664237976,10.153169631958008,0.8913058415055275
training_derived_component,44,sd1042,not_released,not_released,512595.0,2.931263635389228,3.318888888962726,21858.0,1.052247166633606,0.7208617925643921,10.081880569458008,0.8921375423669815
learnable_global_component,44,sd1042,not_released,not_released,512597.0,2.7233407497406006,3.0929625034332275,21858.0,1.0508038997650146,0.7150194644927979,10.143558502197266,0.892433226108551
fixed4_submitted,44,sd1091,not_released,not_released,512595.0,4.0,4.0,14304.0,0.7323763966560364,0.49591073393821716,7.1035990715026855,0.8562819361686707
unbounded,44,sd1091,not_released,not_released,512595.0,inf,inf,14304.0,0.7255126237869263,0.4933858215808868,7.214137077331543,0.858963131904602
fixed6,44,sd1091,not_released,not_released,512595.0,6.0,6.0,14304.0,0.7274265289306641,0.4962636232376098,7.253301620483398,0.8582180291414261
training_derived_component,44,sd1091,not_released,not_released,512595.0,2.931263635389228,3.318888888962726,14304.0,0.7265604734420776,0.4920120537281036,7.191129207611084,0.8585554212331772
learnable_global_component,44,sd1091,not_released,not_released,512597.0,2.724970579147339,3.096274137496948,14304.0,0.7226937413215637,0.4906717240810394,7.332466125488281,0.8600569516420364
fixed4_submitted,45,sd1042,not_released,not_released,512595.0,4.0,4.0,21858.0,1.0554461479187012,0.7220067977905273,10.117679595947266,0.8914807215332985
unbounded,45,sd1042,not_released,not_released,512595.0,inf,inf,21858.0,1.0470528602600098,0.7165530920028687,10.066804885864258,0.8931998088955879
fixed6,45,sd1042,not_released,not_released,512595.0,6.0,6.0,21858.0,1.0593727827072144,0.7181294560432434,10.1140775680542,0.8906717449426651
training_derived_component,45,sd1042,not_released,not_released,512595.0,2.931263635389228,3.318888888962726,21858.0,1.0508151054382324,0.7212091684341431,10.135311126708984,0.8924309238791466
learnable_global_component,45,sd1042,not_released,not_released,512597.0,2.681462526321411,3.050234317779541,21858.0,1.0428489446640017,0.7166688442230225,10.159729957580566,0.894055686891079
fixed4_submitted,45,sd1091,not_released,not_released,512595.0,4.0,4.0,14304.0,0.7184280753135681,0.4880060851573944,6.977467060089111,0.861704096198082
unbounded,45,sd1091,not_released,not_released,512595.0,inf,inf,14304.0,0.7127643823623657,0.4869101643562317,6.906123161315918,0.8638760149478912
fixed6,45,sd1091,not_released,not_released,512595.0,6.0,6.0,14304.0,0.7376084923744202,0.4996114373207092,7.203959941864014,0.8542211353778839
training_derived_component,45,sd1091,not_released,not_released,512595.0,2.931263635389228,3.318888888962726,14304.0,0.7151880264282227,0.4854162633419037,7.040801048278809,0.8629486858844757
