variant,seed,target,checkpoint,prediction_path,parameter_count,threshold,upper_tail_count,upper_tail_ratio,upper_tail_ws_rmse,overall_count,ws_rmse,ws_mae,wd_mae,r2,learned_bound_u,learned_bound_v,count
dir_l1_unweighted,42,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.1336039304733276,21858.0,1.0622856616973877,0.7309566736221313,10.123334884643555,0.8900697007775307,,,
dir_cos_unweighted,42,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.1107118129730225,21858.0,1.0484577417373657,0.7161006927490234,10.191929817199707,0.8929130211472511,,,
upper_tail_weighted_dir_cos_training_p95,42,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.1202548742294312,21858.0,1.0638495683670044,0.7366716265678406,10.330442428588867,0.8897457718849182,4.0,4.0,21858.0
dir_l1_unweighted,42,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,2.0240602493286133,14304.0,0.7202230095863342,0.4893798232078552,7.036301612854004,0.861012190580368,,,
dir_cos_unweighted,42,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,2.0624053478240967,14304.0,0.7705323696136475,0.5179749131202698,7.51603364944458,0.8409167230129242,,,
upper_tail_weighted_dir_cos_training_p95,42,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,1.9621455669403076,14304.0,0.7155517935752869,0.4844011068344116,6.974995136260986,0.8628092408180237,4.0,4.0,14304.0
dir_l1_unweighted,43,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.1196798086166382,21858.0,1.058635950088501,0.7244799137115479,10.125175476074219,0.8908237740397453,,,
dir_cos_unweighted,43,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.208078384399414,21858.0,1.0674242973327637,0.7314934134483337,10.139444351196289,0.8890035897493362,,,
upper_tail_weighted_dir_cos_training_p95,43,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.04756760597229,21858.0,1.0512378215789795,0.718997597694397,10.117997169494627,0.8923443630337715,4.0,4.0,21858.0
dir_l1_unweighted,43,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,1.973434567451477,14304.0,0.7314596176147461,0.4916665554046631,6.990561008453369,0.8566415011882782,,,
dir_cos_unweighted,43,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,1.992112398147583,14304.0,0.7137578129768372,0.48434627056121826,6.875235557556152,0.863496258854866,,,
upper_tail_weighted_dir_cos_training_p95,43,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,1.9846649169921875,14304.0,0.7379662990570068,0.499841958284378,7.0844573974609375,0.8540796637535095,4.0,4.0,14304.0
dir_l1_unweighted,44,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.138270378112793,21858.0,1.0580472946166992,0.7317498326301575,10.14041805267334,0.8909451588988304,,,
dir_cos_unweighted,44,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.1135172843933105,21858.0,1.0460978746414185,0.7093175649642944,10.083901405334473,0.8933945447206497,,,
upper_tail_weighted_dir_cos_training_p95,44,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.1454907655715942,21858.0,1.0544780492782593,0.7170001864433289,10.13460636138916,0.8916796892881393,4.0,4.0,21858.0
dir_l1_unweighted,44,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,1.9770348072052002,14304.0,0.7165992856025696,0.48845553398132324,6.908803939819336,0.8624072819948196,,,
dir_cos_unweighted,44,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,2.0652410984039307,14304.0,0.7301661372184753,0.4929514527320862,7.237433433532715,0.857148066163063,,,
upper_tail_weighted_dir_cos_training_p95,44,sd1091,not_released,not_released,512595.0,10.580439745930407,144.0,0.010067114093959731,1.9554519653320312,14304.0,0.725570559501648,0.4950505495071411,7.514784812927246,0.8589405864477158,4.0,4.0,14304.0
dir_l1_unweighted,45,sd1042,not_released,not_released,512595.0,10.580439745930407,4488.0,0.20532528136151523,1.165489673614502,21858.0,1.048966646194458,0.7180547118186951,10.137632369995117,0.8928090408444405,,,
